"participantnum";"date";"ms_condition";"dv_order";"prous1";"prous2";"prous3";"prous4";"prous5";"antius1";"antius2";"antius3";"antius4";"antius5";"cheerful";"sad";"active";"angryatself";"disgusted";"calm";"guilty";"enthusiastic";"attentive";"afraid";"joyful";"downhearted";"bashful";"tired";"nervous";"sheepish";"sluggish";"amazed";"lonely";"distressed";"daring";"shaky";"sleepy";"blameworthy";"surprised";"happy";"excited";"determined";"strong";"timid";"hostile";"frightened";"scornful";"alone";"proud";"astonished";"relaxed";"alert";"jittery";"interested";"irritable";"upset";"lively";"loathing";"delighted";"angry";"ashamed";"confident";"inspired";"bold";"atease";"energetic";"fearless";"blue";"scared";"concentrating";"disgustedwithself";"shy";"drowsy";"dissatisfiedwithself";"countryofbirth";"race";"americanid";"msincomplete";"expert";"source";"location";"proauth_avg";"antiauth_avg";"pro_minus_anti";"pass_ER1";"pass_ER2";"pass_ER3";"usborn";"iswhite"
"56";"10/27/2016";"ms";"";5;6;6;7;6;4;6;5;4;4;NA;NA;"2";NA;NA;NA;"1";"3";"4";"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"3";"2";"3";NA;"1";NA;NA;NA;"2";NA;NA;"4";"2";"4";"1";"2";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,33333333333333;4,33333333333333;2;TRUE;TRUE;FALSE;1;1
"58";"10/28/2016";"tv";"";4;3;3;4;4;5;7;6;4;4;NA;NA;"1";NA;NA;NA;"1";"1";"1";"1";NA;NA;NA;NA;"3";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";"3";"1";NA;"1";NA;NA;NA;"2";NA;NA;"1";"4";"3";"1";"2";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";3,66666666666667;4,66666666666667;-1;TRUE;TRUE;FALSE;1;1
"59";"10/28/2016";"ms";"";8;5;5;7;7;7;6;7;8;9;NA;NA;"1";NA;NA;NA;"1";"1";"3";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"2";"1";"2";NA;"1";NA;NA;NA;"1";NA;NA;"3";"3";"4";"1";"2";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,33333333333333;8;-1,66666666666667;TRUE;TRUE;FALSE;1;1
"60";"10/28/2016";"tv";"";5;5;5;5;6;5;4;5;7;8;NA;NA;"2";NA;NA;NA;"3";"1";"3";"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"1";"3";"2";NA;"1";NA;NA;NA;"1";NA;NA;"3";"3";"3";"2";"2";NA;NA;NA;NA;"3";NA;"1";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,33333333333333;6,66666666666667;-1,33333333333333;TRUE;TRUE;FALSE;1;1
"61";"10/28/2016";"ms";"";7;7;6;5;6;7;6;5;7;6;NA;NA;"3";NA;NA;NA;"3";"4";"4";"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"4";"4";"3";NA;"2";NA;NA;NA;"4";NA;NA;"3";"3";"4";"2";"2";NA;NA;NA;NA;"2";NA;"4";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,66666666666667;6;-0,333333333333333;TRUE;TRUE;FALSE;1;1
"62";"10/28/2016";"tv";"";8;5;7;7;7;4;5;5;4;5;NA;NA;"2";NA;NA;NA;"1";"1";"3";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";"1";"1";NA;"1";NA;NA;NA;"1";NA;NA;"3";"2";"2";"2";"1";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7;4,66666666666667;2,33333333333333;TRUE;TRUE;FALSE;1;1
"63";"11/1/2016";"ms";"";8;8;7;7;8;6;7;7;6;7;NA;NA;"2";NA;NA;NA;"1";"2";"3";"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"2";"2";"2";NA;"1";NA;NA;NA;"3";NA;NA;"2";"2";"2";"1";"1";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7,33333333333333;6,66666666666667;0,666666666666666;TRUE;TRUE;FALSE;1;1
"64";"11/2/2016";"ms";"";5;5;5;5;5;5;5;5;5;5;NA;NA;"2";NA;NA;NA;"1";"1";"2";"4";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"2";"2";"3";NA;"2";NA;NA;NA;"2";NA;NA;"2";"3";"4";"4";"4";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5;5;0;TRUE;TRUE;FALSE;1;1
"66";"11/2/2016";"tv";"";8;8;7;6;7;6;7;6;6;7;NA;NA;"1";NA;NA;NA;"1";"2";"2";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";"3";"2";NA;"1";NA;NA;NA;"3";NA;NA;"3";"1";"2";"2";"1";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,66666666666667;6,33333333333333;0,333333333333334;TRUE;TRUE;FALSE;1;1
"68";"11/2/2016";"tv";"";6;6;6;6;5;7;5;5;6;4;NA;NA;"2";NA;NA;NA;"3";"3";"4";"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"4";"4";"4";NA;"2";NA;NA;NA;"4";NA;NA;"4";"2";"4";"5";"3";NA;NA;NA;NA;"3";NA;"4";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,66666666666667;5;0,666666666666667;TRUE;TRUE;FALSE;1;1
"69";"11/2/2016";"ms";"";8;7;6;5;5;5;8;9;7;6;NA;NA;"5";NA;NA;NA;"1";"4";"4";"1";NA;NA;NA;NA;"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"3";"4";"4";NA;"1";NA;NA;NA;"4";NA;NA;"2";"1";"4";"3";"2";NA;NA;NA;NA;"2";NA;"4";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,33333333333333;7,33333333333333;-2;TRUE;TRUE;FALSE;1;1
"70";"11/3/2016";"ms";"";9;7;7;8;7;9;8;8;6;6;NA;NA;"3";NA;NA;NA;"2";"3";"3";"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"3";"3";"3";NA;"2";NA;NA;NA;"2";NA;NA;"4";"3";"3";"3";"4";NA;NA;NA;NA;"2";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7,33333333333333;6,66666666666667;0,666666666666666;TRUE;TRUE;FALSE;1;1
"71";"11/3/2016";"tv";"";6;5;5;6;6;8;7;5;8;5;NA;NA;"5";NA;NA;NA;"1";"4";"5";"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"4";"5";"5";NA;"1";NA;NA;NA;"5";NA;NA;"5";"4";"4";"1";"1";NA;NA;NA;NA;"1";NA;"5";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,66666666666667;6;-0,333333333333333;TRUE;TRUE;FALSE;1;1
"72";"11/3/2016";"tv";"";7;7;7;6;7;7;7;5;6;6;NA;NA;"1";NA;NA;NA;"1";"3";"2";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";"1";"1";NA;"1";NA;NA;NA;"1";NA;NA;"2";"2";"3";"1";"1";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,66666666666667;5,66666666666667;1;TRUE;TRUE;FALSE;1;1
"74";"11/4/2016";"ms";"";1;3;1;5;7;4;5;5;8;7;NA;NA;"1";NA;NA;NA;"2";"1";"1";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"1";"1";"1";NA;"1";NA;NA;NA;"1";NA;NA;"1";"1";"3";"4";"3";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4,33333333333333;6,66666666666667;-2,33333333333333;TRUE;TRUE;FALSE;1;1
"75";"11/7/2016";"tv";"";7;6;7;7;8;8;8;9;9;8;NA;NA;"3";NA;NA;NA;"1";"4";"3";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"3";"4";"3";NA;"1";NA;NA;NA;"4";NA;NA;"3";"3";"3";"2";"1";NA;NA;NA;NA;"1";NA;"4";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7,33333333333333;8,66666666666667;-1,33333333333333;TRUE;TRUE;FALSE;1;1
"76";"11/7/2016";"tv";"";6;5;5;6;5;5;4;4;5;3;NA;NA;"4";NA;NA;NA;"2";"3";"3";"1";NA;NA;NA;NA;"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"3";"3";"3";NA;"1";NA;NA;NA;"3";NA;NA;"3";"2";"4";"3";"2";NA;NA;NA;NA;"2";NA;"3";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,33333333333333;4;1,33333333333333;TRUE;TRUE;FALSE;1;1
"77";"11/7/2016";"ms";"";6;6;5;7;7;6;7;7;8;7;NA;NA;"4";NA;NA;NA;"1";"3";"2";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"3";"4";"2";NA;"1";NA;NA;NA;"2";NA;NA;"4";"1";"5";"1";"1";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,33333333333333;7,33333333333333;-1;TRUE;TRUE;FALSE;1;1
"78";"11/7/2016";"tv";"";5;4;3;5;4;7;7;8;7;7;NA;NA;"1";NA;NA;NA;"1";"2";"2";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"2";"2";"3";NA;"1";NA;NA;NA;"2";NA;NA;"2";"2";"3";"1";"1";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4;7,33333333333333;-3,33333333333333;TRUE;TRUE;FALSE;1;1
"79";"11/9/2016";"ms";"";7;6;6;7;7;2;2;4;2;1;NA;NA;"4";NA;NA;NA;"1";"3";"4";"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"4";"4";"4";NA;"2";NA;NA;NA;"3";NA;NA;"4";"3";"4";"2";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,66666666666667;2,33333333333333;4,33333333333333;TRUE;TRUE;FALSE;1;1
"80";"11/9/2016";"ms";"";5;6;5;2;3;7;7;7;9;7;NA;NA;"2";NA;NA;NA;"1";"1";"3";"4";NA;NA;NA;NA;"3";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"2";"2";"3";NA;"3";NA;NA;NA;"1";NA;NA;"3";"3";"4";"2";"4";NA;NA;NA;NA;"4";NA;"1";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";3,33333333333333;7,66666666666667;-4,33333333333333;TRUE;TRUE;FALSE;1;1
"82";"11/9/2016";"ms";"";7;7;7;6;7;5;6;6;5;6;NA;NA;"4";NA;NA;NA;"2";"4";"4";"4";NA;NA;NA;NA;"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"4";"4";"4";NA;"3";NA;NA;NA;"4";NA;NA;"3";"4";"4";"3";"4";NA;NA;NA;NA;"2";NA;"4";NA;NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,66666666666667;5,66666666666667;1;TRUE;TRUE;FALSE;1;1
"84";"11/9/2016";"tv";"";7;6;7;7;6;6;6;8;5;5;NA;NA;"5";NA;NA;NA;"1";"4";"5";"2";NA;NA;NA;NA;"4";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"5";"5";"5";NA;"2";NA;NA;NA;"5";NA;NA;"3";"3";"5";"2";"2";NA;NA;NA;NA;"2";NA;"5";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,66666666666667;6;0,666666666666667;TRUE;TRUE;FALSE;1;1
"85";"11/9/2016";"ms";"";4;3;1;1;1;6;6;7;9;7;NA;NA;"2";NA;NA;NA;"1";"1";"2";"5";NA;NA;NA;NA;"5";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"1";"1";"1";NA;"2";NA;NA;NA;"1";NA;NA;"2";"3";"1";"4";"5";NA;NA;NA;NA;"4";NA;"1";NA;NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";1;7,66666666666667;-6,66666666666667;TRUE;TRUE;FALSE;1;1
"86";"11/9/2016";"tv";"";7;7;4;5;5;8;6;5;9;9;NA;NA;"3";NA;NA;NA;"1";"3";"4";"5";NA;NA;NA;NA;"4";NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;NA;"3";"4";"4";NA;"2";NA;NA;NA;"1";NA;NA;"4";"2";"3";"5";"5";NA;NA;NA;NA;"4";NA;"5";NA;NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4,66666666666667;7,66666666666667;-3;TRUE;TRUE;FALSE;1;1
"87";"11/9/2016";"tv";"";6;5;3;7;6;7;5;2;9;7;NA;NA;"1";NA;NA;NA;"1";"1";"3";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"1";"3";"2";NA;"1";NA;NA;NA;"1";NA;NA;"2";"3";"3";"1";"1";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,33333333333333;6;-0,666666666666667;TRUE;TRUE;FALSE;1;1
"88";"11/9/2016";"ms";"";7;6;4;5;5;7;8;7;8;5;NA;NA;"2";NA;NA;NA;"3";"1";"5";"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"1";"1";"3";NA;"2";NA;NA;NA;"1";NA;NA;"4";"2";"5";"2";"1";NA;NA;NA;NA;"2";NA;"1";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4,66666666666667;6,66666666666667;-2;TRUE;TRUE;FALSE;1;1
"89";"11/9/2016";"ms";"";9;9;8;8;9;9;9;9;7;9;NA;NA;"3";NA;NA;NA;"2";"4";"4";"1";NA;NA;NA;NA;"4";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"1";"4";"5";NA;"1";NA;NA;NA;"2";NA;NA;"4";"1";"5";"2";"2";NA;NA;NA;NA;"1";NA;"4";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";8,33333333333333;8,33333333333333;0;TRUE;TRUE;FALSE;1;1
"91";"11/10/2016";"ms";"";7;8;7;8;7;3;7;3;1;6;NA;NA;"4";NA;NA;NA;"1";"3";"4";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"3";"4";"4";NA;"1";NA;NA;NA;"4";NA;NA;"4";"2";"4";"1";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7,33333333333333;3,33333333333333;4;TRUE;TRUE;FALSE;1;1
"92";"11/10/2016";"tv";"";5;4;2;3;4;7;7;8;9;7;NA;NA;"2";NA;NA;NA;"1";"3";"4";"4";NA;NA;NA;NA;"1";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"1";"4";"4";NA;"1";NA;NA;NA;"2";NA;NA;"4";"1";"2";"1";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";3;8;-5;TRUE;TRUE;FALSE;1;1
"93";"11/10/2016";"ms";"";7;6;4;7;7;3;5;4;3;4;NA;NA;"2";NA;NA;NA;"1";"4";"5";"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"2";"5";"3";NA;"1";NA;NA;NA;"4";NA;NA;"4";"4";"4";"2";"1";NA;NA;NA;NA;"1";NA;"5";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6;3,66666666666667;2,33333333333333;TRUE;TRUE;FALSE;1;1
"94";"11/10/2016";"tv";"";7;6;6;8;4;6;7;8;5;6;NA;NA;"2";NA;NA;NA;"1";"3";"3";"1";NA;NA;NA;NA;"4";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"1";"4";"4";NA;"2";NA;NA;NA;"2";NA;NA;"3";"4";"4";"3";"2";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6;6,33333333333333;-0,333333333333333;TRUE;TRUE;FALSE;1;1
"99";"2/20/2017";"ms";"";6;6;7;5;6;4;5;5;4;5;NA;NA;"4";NA;NA;NA;"1";"4";"3";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"3";"4";"4";NA;"2";NA;NA;NA;"4";NA;NA;"3";"2";"3";"2";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6;4,66666666666667;1,33333333333333;TRUE;TRUE;FALSE;1;1
"100";"2/20/2017";"ms";"";8;6;4;8;7;3;5;3;3;2;NA;NA;"5";NA;NA;NA;"1";"5";"5";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"4";"5";"4";NA;"1";NA;NA;NA;"4";NA;NA;"4";"1";"5";"1";"1";NA;NA;NA;NA;"1";NA;"4";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,33333333333333;2,66666666666667;3,66666666666667;TRUE;TRUE;FALSE;1;1
"101";"2/20/2017";"tv";"";7;6;4;5;4;4;5;5;3;5;NA;NA;"3";NA;NA;NA;"1";"2";"4";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"2";"4";"3";NA;"1";NA;NA;NA;"3";NA;NA;"3";"2";"3";"3";"1";NA;NA;NA;NA;"2";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4,33333333333333;4,33333333333333;0;TRUE;TRUE;FALSE;1;1
"102";"2/20/2017";"tv";"";8;8;8;9;9;8;9;8;8;9;NA;NA;"4";NA;NA;NA;"2";"3";"5";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"1";"5";"4";NA;"2";NA;NA;NA;"4";NA;NA;"4";"1";"3";"1";"3";NA;NA;NA;NA;"1";NA;"4";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";8,66666666666667;8,33333333333333;0,333333333333332;TRUE;TRUE;FALSE;1;1
"103";"2/22/2017";"tv";"";7;8;7;7;7;6;8;7;9;8;NA;NA;"2";NA;NA;NA;"1";"2";"4";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";"3";"2";NA;"1";NA;NA;NA;"1";NA;NA;"4";"2";"3";"1";"1";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7;8;-1;TRUE;TRUE;FALSE;1;1
"104";"2/22/2017";"ms";"";4;5;5;3;3;5;6;6;7;7;NA;NA;"3";NA;NA;NA;"2";"4";"4";"3";NA;NA;NA;NA;"2";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"3";"4";"3";NA;"3";NA;NA;NA;"4";NA;NA;"3";"2";"4";"3";"2";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";3,66666666666667;6,66666666666667;-3;TRUE;TRUE;FALSE;1;1
"107";"2/22/2017";"tv";"";4;7;4;5;6;6;8;7;8;8;NA;NA;"4";NA;NA;NA;"2";"4";"4";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"3";"3";"4";NA;"1";NA;NA;NA;"4";NA;NA;"4";"1";"4";"1";"2";NA;NA;NA;NA;"1";NA;"2";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5;7,66666666666667;-2,66666666666667;TRUE;TRUE;FALSE;1;1
"108";"2/22/2017";"ms";"";8;6;6;7;6;3;3;2;2;2;NA;NA;"4";NA;NA;NA;"2";"5";"4";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"4";NA;NA;NA;NA;NA;NA;"5";"5";"3";NA;"1";NA;NA;NA;"4";NA;NA;"4";"3";"4";"3";"3";NA;NA;NA;NA;"1";NA;"4";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,33333333333333;2;4,33333333333333;TRUE;TRUE;FALSE;1;1
"112";"2/24/2017";"ms";"";6;5;5;6;6;2;5;5;4;5;NA;NA;"2";NA;NA;NA;"1";"1";"2";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"1";"3";"2";NA;"1";NA;NA;NA;"2";NA;NA;"3";"1";"3";"1";"1";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5,66666666666667;4,66666666666667;1;TRUE;TRUE;FALSE;1;1
"114";"3/1/2017";"tv";"";5;7;8;9;9;9;9;7;9;6;NA;NA;"4";NA;NA;NA;"1";"3";"4";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"2";"4";"3";NA;"1";NA;NA;NA;"2";NA;NA;"4";"4";"3";"3";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";8,66666666666667;7,33333333333333;1,33333333333333;TRUE;TRUE;FALSE;1;1
"116";"3/1/2017";"ms";"";7;6;3;4;5;8;8;9;9;7;NA;NA;"3";NA;NA;NA;"1";"5";"5";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"4";"5";"5";NA;"1";NA;NA;NA;"5";NA;NA;"4";"2";"4";"3";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4;8,33333333333333;-4,33333333333333;TRUE;TRUE;FALSE;1;1
"117";"3/1/2017";"ms";"";8;8;8;8;8;5;5;4;3;3;NA;NA;"2";NA;NA;NA;"1";"1";"1";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;NA;"2";"3";"4";NA;"1";NA;NA;NA;"2";NA;NA;"4";"3";"4";"1";"2";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";8;3,33333333333333;4,66666666666667;TRUE;TRUE;FALSE;1;1
"118";"3/1/2017";"tv";"";6;4;4;4;5;4;5;5;3;5;NA;NA;"2";NA;NA;NA;"1";"2";"4";"2";NA;NA;NA;NA;"3";NA;NA;NA;NA;"3";NA;NA;NA;NA;NA;NA;"2";"3";"2";NA;"1";NA;NA;NA;"1";NA;NA;"3";"3";"3";"2";"2";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";4,33333333333333;4,33333333333333;0;TRUE;TRUE;FALSE;1;1
"119";"3/3/2017";"ms";"";7;7;7;7;6;7;7;7;6;7;NA;NA;"3";NA;NA;NA;"1";"4";"4";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"2";"4";"2";NA;"1";NA;NA;NA;"4";NA;NA;"3";"1";"3";"1";"1";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";6,66666666666667;6,66666666666667;0;TRUE;TRUE;FALSE;1;1
"120";"3/3/2017";"tv";"";6;4;5;5;5;3;3;1;2;3;NA;NA;"1";NA;NA;NA;"1";"1";"3";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;NA;NA;"1";"1";"3";NA;"1";NA;NA;NA;"1";NA;NA;"2";"1";"2";"2";"1";NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";5;2;3;TRUE;TRUE;FALSE;1;1
"121";"3/3/2017";"tv";"";5;6;6;8;7;5;7;7;9;9;NA;NA;"3";NA;NA;NA;"1";"3";"4";"1";NA;NA;NA;NA;"2";NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;NA;"4";"4";"4";NA;"1";NA;NA;NA;"3";NA;NA;"3";"1";"3";"1";"2";NA;NA;NA;NA;"1";NA;"3";NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"1";NA;"0";0;"ithaca";"ithaca";7;8,33333333333333;-1,33333333333333;TRUE;TRUE;FALSE;1;1
